etat;score;fiche;type;producteur;millesime;tarif retenu;prix;autre candidat;prix autre
doute;0.58;Humo Blanco Organic Chardonnay 2023;blanc;Hacienda Araucano / François Lurton.;;"Hacienda Araucano - Blanc - ""Humo Blanco - Chardonnay"" Vallée De Lolol 75Cl";18.00;"Hacienda Araucano - Blanc - ""Humo Blanco - Sauvignon"" Vallée De Lolol 75Cl";18.00
doute;0.57;Humo Blanco Organic Sauvignon Blanc 2024;blanc;Hacienda Araucano / François Lurton.;;"Hacienda Araucano - Blanc - ""Humo Blanco - Sauvignon"" Vallée De Lolol 75Cl";18.00;"Hacienda Araucano - Blanc - ""Humo Blanco - Chardonnay"" Vallée De Lolol 75Cl";18.00
aucun;0.00;JURA'NADA - SAVAGNIN NATURÉ 2022;blanc;Le Clos des Grives.;2022;;;Jura Magnum Savagnin Jura Nada 2022;64.00
sur;1.00;Kendall-Jackson — Vintner’s Reserve;blanc;Kendall-Jackson.;;Kendall Jackson Vintners Reserve Chardonnay 2023 Vin De Californie Jackson - Blanc - Californie;33.00;;
aucun;0.00;L'Éphémère Blanc;blanc;Domaine d'En Ségur — Lionel Barre.;2024;;;"Domaine Lafﬁtte - Blanc - IGP Côtes De Gascogne ""Gros Et Petit Manseng"" 75Cl";12.00
doute;0.72;LE MUSCARIS 2025;blanc;Famille d'Exéa / Domaines d'Exéa.;2025;Atelier D'Exea - Le Muscaris 2025 75 Cl;12.00;;
sur;0.76;LES HAUTS DE JANEIL;blanc;François Lurton - Mas Janeil.;;"Les Hauts De Janeil- Blanc - IGP Côtes Catalane ""Sauvignon Blanc, Grenache"" 75 Cl";12.00;;
aucun;0.00;LONGITUDE;blanc;Hommes & Terres du Sud.;2025;;;;
sur;0.85;La Cuvée des Copains 2022;blanc;Domaine de la Grenaudière.;2022;"Domaine De La Grenaudiere - Blanc - ""La Cuvee Des Copains"" 75Cl";18.00;;
sur;1.00;La Grenouille;blanc;Domaine de la Grenaudière.;2025;"Domaine De La Grenaudiere - Blanc - Muscadet ""La Grenouille"" 75Cl";9.90;;
sur;1.00;Lavradores de Feitoria Douro Branco 2024;blanc;Lavradores de Feitoria.;;Lavradores De Feitoria Branco 2024 D.O.C. Douro - Blanc - Portugal;15.00;;
sur;0.90;Les Fumées Blanches Les Calcaires;blanc;Domaines François Lurton.;2025;"Domaine Les Fumées Blanches - Blanc - IGP Côtes De Gascogne ""Calcaire"" 75 Cl";14.00;;
sur;0.93;Les Fumées Blanches Sauvignon Blanc;blanc;Domaines François Lurton.;2025;"Domaine Les Fumées Blanches - Blanc - IGP Côtes De Gascogne ""Sauvignon Blanc"" 75 Cl";12.00;"Domaine Les Fumées Blanches - Blanc - IGP Côtes De Gascogne ""Calcaire"" 75 Cl";14.00
sur;0.84;Les Fumées Blanches Vin Orange;blanc;Domaines François Lurton.;2025;"Domaine Les Fumées Blanches - Orange - IGP Côtes De Gascogne ""Vin Orange"" 75 Cl";14.00;;
aucun;0.00;Les Hauts de Janeil - Grenache & Sauvignon 2024;blanc;MAS JANEIL / FRANÇOIS LURTON.;;;;"Les Hauts De Janeil- Blanc - IGP Côtes Catalane ""Sauvignon Blanc, Grenache"" 75 Cl";12.00
doute;0.61;Levantine de Musar 2021;rouge;Château Musar — famille Hochar.;2021;"Château  Musar - Rouge - ""Levantine De Musar"" Vallée De Bekaa 75 Cl";33.00;;
sur;0.86;Lumà Grillo 2025;blanc;Cantine Cellaro.;;"Fantini Group Farnese - Blanc - ""Luma Grillo"" Sicilia 75 Cl";12.90;;
doute;0.61;MARSANNE BARRAL 2025;blanc;Domaines Xavier Mourier - Domaine de Pierre Blanche.;2025;IGP Coll Rhod Marsanne Barral 0.75 L;11.00;;
aucun;0.00;MAZET DE NIZAS BLANC;blanc;François Lurton.;2024;;;;
sur;0.88;MERCUREY « LA BRIGADIÈRE » 2022;blanc;Domaine du Château Philippe le Hardi.;2022;Mercurey Blanc La Brigadiere 2022;32.00;;
sur;0.82;MEURSAULT 2023;blanc;Domaine du Château Philippe le Hardi.;2023;Meursault Blanc 2023;78.00;;
sur;0.85;MUSICIENNE - CHARDONNAY 2019;blanc;Le Clos des Grives.;2019;"Jura Cotes Du Jura Chardonnay ""Musicienne"" 2019";30.00;;
doute;0.68;Mas Janeil C2 2021;rouge;MAS JANEIL / FRANÇOIS LURTON.;;"Mas Janeil - Rouge - IGP Côtes Catalane ""C2"" 75 Cl";18.00;;
doute;0.46;Musar Jeune White 2022;blanc;Château Musar — famille Hochar.;2022;"Château  Musar - Blanc - ""Musar Jeune Blanc "" Vallée De Bekaa 75 Cl";30.00;;
doute;0.47;Mâcon-Villages « Vieilles Vignes » 2023;blanc;Famille Perrachon.;2023;"Domaine Perrachon & Fils - Blanc - ""Macon Village"" 75 Cl";16.00;;
aucun;0.00;Mélody Gros Manseng;blanc;MÉLODY / DOMAINES FRANÇOIS LURTON.;;;;"Domaine De Targuerie - Blanc - IGP Côtes De Gascogne ""Melody"" Demi-Sec 75Cl";12.00
doute;0.64;N°9 SAUVIGNON 2025;blanc;Famille d'Exéa / Domaines d'Exéa.;2025;Atelier D'Exea - N°9 Sauvignon 2025 Bd 75 Cl;12.00;Rouquet'S - Blanc - Sauvignon Blanc IGP Pays D'Oc 2025;8.00
doute;0.54;Oenops APLA Dry White 2025;blanc;Oenops Wines.;2025;Oenops Wines - Apla Blanc 2025;22.00;;
sur;1.00;Oysterman;blanc;Vignoble Ollivier-Cottenceau.;2025;"Domaine De La Grenaudiere - Blanc - Muscadet ""Oysterman"" 75Cl";9.00;;
sur;1.00;Petite Lily - Château Climens;blanc;Château Climens.;2023;"Château Climens - Blanc - ""Petite Lily"" 75 Cl";25.00;;
sur;0.92;Piedra Negra Alta Colección Torrontés;blanc;Bodega Piedra Negra — François Lurton.;2023;"Bodega Piedra Negra - Blanc - ""Alta Coleccion Torrontés"" Mendoza 75 Cl";18.00;;
aucun;0.00;Piedra Negra Jackot Organic 2022;blanc;Bodega Piedra Negra — François Lurton.;2022;;;Arroyo Grande Jackot BIO Eur 2022 Vin Argentin - Blanc - Argentine;18.00
aucun;0.00;Pouilly-Fuissé 1er Cru « Vers Cras » 2023;blanc;Famille Perrachon.;2023;;;"Domaine Perrachon & Fils - Blanc - ""Pouilly-Fuissé"" 1Er Cru 75 Cl";38.00
aucun;0.00;Pouilly-Fuissé « Vieilles Vignes » 2024;blanc;Famille Perrachon.;2024;;;"Domaine Perrachon & Fils - Blanc - ""Pouilly-Fuissé"" 75 Cl";27.00
aucun;0.00;Pradorey — Origen;rouge;Pradorey — Real Sitio de Ventosilla S.A.;;;;Pradorey;50.00
sur;0.87;Rouquet’s Cabernet Sauvignon 2025;rouge;Le Cellier du Pic · IGP Pays d’Oc.;2025;Rouquet'S - Rouge - Cabernet Sauvignon IGP Pays D'Oc 2025;8.00;"Bodega Piedra Negra - Rouge - ""Gran Lurton - Cabernet Sauvignon"" Los Chacayes 75Cl";23.00
sur;0.83;Rouquet’s Sauvignon 2025;blanc;Le Cellier du Pic · IGP Pays d’Oc.;2025;Rouquet'S - Blanc - Sauvignon Blanc IGP Pays D'Oc 2025;8.00;Rouquet'S - Blanc - Viognier IGP Pays D'Oc 2025;8.00
sur;0.85;Rouquet’s Viognier 2025;blanc;Le Cellier du Pic · IGP Pays d’Oc.;2025;Rouquet'S - Blanc - Viognier IGP Pays D'Oc 2025;8.00;"IGP COLL RHOD VIOGNIER ""Peyss""";21.00
sur;0.92;SAINT-AUBIN « EN VESVEAU » 2023;blanc;Domaine du Château Philippe le Hardi.;2023;Saint-Aubin En Vesveau 2023;48.00;;
sur;0.81;SANTENAY 1ER CRU « LA COMME » 2023;blanc;Domaine du Château Philippe le Hardi.;2023;Santenay 1Er Cru La Comme Blanc BIO;63.00;;
sur;0.84;SOLITAIRE - SAVAGNIN 2023;blanc;Le Clos des Grives.;2023;"Jura Cotes Du Jura Blanc Savagnin ""Solitaire"" 2023";45.00;;
doute;0.64;Saint Clair Pioneer Block 10 Twin Hills Chardonnay;blanc;;;Saint Clair Pioneer Block 10 Chardonnay 2023;29.00;;
doute;0.71;Saint Clair Vicar’s Choice Sauvignon Blanc 2023;blanc;Saint Clair Family Estate.;;"Saint Clair - Blanc - ""Vicar’S Choice Sauvignon Blanc"" Marlborough Valley 75 Cl";20.00;;
doute;0.69;Shumi Tsinandali 2024;blanc;Shumi Winery / Shumi Estate Cellars.;2024;"Shumi Winery - Blanc - ""Tsinandali"" 75Cl";19.00;;
sur;0.83;VIN JAUNE 2018;blanc;Le Clos des Grives.;2018;Jura Cotes Du Jura Vin Jaune 2018;79.00;;
doute;0.72;Viña Progreso Revolution Albariño 2020;blanc;Viña Progreso — Gabriel Pisano.;2020;Vina Progreso - Revolution Albarino 2024;14.00;;
aucun;0.00;Yalumba The Y Series Viognier 2021;blanc;Yalumba — famille Hill-Smith.;2021;;;;
doute;0.61;Yalumba — The Y Series Shiraz;rouge;Yalumba — famille Hill-Smith.;;Yalumba - Y Serie Shiraz 2022 Vin Australie Negocianuk - Rouge - Australie;18.00;;
doute;0.49;Zéro by Les Fumées Blanches Sauvignon Blanc;blanc;Domaines François Lurton.;;"Domaine Les Fumées Blanches - Blanc Zero - IGP Côtes De Gascogne ""Zero"" 75 Cl";12.00;Le Cellier du Pic - Z De Zero;12.00
doute;0.50;À Grands Pas Chardonnay 2025;blanc;Le Cellier du Pic · Vin de France.;2025;A Grand Pas - Blanc - Chardonnay 2025 75 Cl;9.90;;
sur;1.00;Bulles de Phénomène;bulles;Domaine de la Grenaudière PRODUIT Bulles de Phénomène.;;"Domaine De La Grenaudiere - Bulle Desalcoolise - ""Bulles De Phénomène"" 75Cl";20.00;;
sur;0.79;CRÉMANT DU JURA BLANC;bulles;Le Clos des Grives.;;Jura Cremant Du Jura Blanc BIO;31.00;"Domaine Perrachon & Fils - Bulle - Blanc De Blanc ""Crémant De Bourgogne""  75Cl";18.00
aucun;0.00;Cá del Console Prosecco Extra Dry - non millésimé;bulles;Botter.;;;;Corvezzo Diamas Prosecco Extra Dry BIO;16.00
aucun;0.00;Cá del Console Prosecco Rosé Extra Dry;bulles;;;;;Corvezzo Diamas Prosecco Extra Dry BIO;16.00
sur;0.75;Diamas Prosecco DOC Extra Dry - non millésimé;bulles;Corvezzo.;;Corvezzo Diamas Prosecco Extra Dry BIO;16.00;;
sur;0.88;Le Brut Nature Rosé;bulles;Vignobles Gueissard.;2022;Domaine Gueissard - Petillant - Brut Nature Rose 2023 75 Cl;34.00;;
doute;1.00;Solicello Moscato d’Asti 2025;bulles;Moscato d’Asti DOCG.;;Neirano Moscato D'Asti Solicello 2025;13.00;"Neirano - Perlant Blanc - ""Moscato D'Asti"" Solicello 75 Cl";14.00
aucun;0.00;Vezzo Blanc de Blancs Brut - non millésimé;bulles;Casa Vinicola Corvezzo.;;;;Corvezzo - Vezzo Spumante Blanc De Blancs;11.00
aucun;0.00;Vezzo Vino Bianco Spumante Brut - non millésimé;bulles;Casa Vinicola Corvezzo.;;;;Vinos Del Paseante - La Gresca;13.00
